Student_ID,Student_Name,Age,Education_Level,Course,Semester,Registered_Subjects,Learning_Goal
S00037,Sherri Baker,12,Grade 6-12,Grade 7,Annual,Mathematics; Science; English; Social Science; Hindi,Research Preparation
S00038,Cassandra Gaines,12,Grade 6-12,Grade 7,Annual,Mathematics; Science; English; Social Science; Hindi,Competitive Exam Prep
S00039,Elizabeth Fowler,17,Grade 6-12,Grade 11 - Commerce,Annual,Accountancy; Business Studies; Economics; Mathematics; English,College Admission Prep
S00040,Brittany Farmer,20,Undergraduate,BTech Artificial Intelligence,Semester 4,Machine Learning; Deep Learning; Statistics; OOP; DBMS; Natural Language Processing; Computer Vision; Reinforcement Learning,College Admission Prep
S00041,Paula Moreno,16,Grade 6-12,Grade 11 - Science,Annual,Physics; Chemistry; Mathematics; Biology; English,Competitive Exam Prep
S00042,Fred Smith,16,Grade 6-12,Grade 11 - Science,Annual,Physics; Chemistry; Mathematics; Biology; English,College Admission Prep
S00043,Sherry Decker,17,Grade 6-12,Grade 12 - Commerce,Annual,Accountancy; Business Studies; Economics; Mathematics; English,Concept Mastery
S00044,Anthony Humphrey,19,Diploma,Diploma in Civil Engineering,Semester 5,Surveying; Structural Analysis; Building Materials; Concrete Technology; Geotechnical Engineering; Transportation Engineering,Competitive Exam Prep
S00045,Angelica Tucker,24,Postgraduate,MTech Computer Science,Semester 4,Advanced Algorithms; Distributed Systems; Cloud Computing; Advanced DBMS; Advanced Operating Systems,Concept Mastery
S00046,Philip Cannon,18,Undergraduate,BBA,Semester 5,Principles of Management; Marketing Management; Financial Accounting; Business Economics; Organizational Behavior; Business Statistics,Skill Building
S00047,John Pierce,20,Undergraduate,BCom,Semester 4,Financial Accounting; Business Law; Economics; Taxation; Auditing; Cost Accounting,Exam Preparation
S00048,Shane Henderson,12,Grade 6-12,Grade 7,Annual,Mathematics; Science; English; Social Science; Hindi,Grade Improvement
S00049,Joshua Blair,20,Undergraduate,LLB,Year 1,Constitutional Law; Criminal Law; Contract Law; Law of Torts; Jurisprudence; Family Law,Career Growth
S00050,Eric Carney,18,Undergraduate,BTech Artificial Intelligence,Semester 7,Machine Learning; Deep Learning; Statistics; OOP; DBMS; Natural Language Processing; Computer Vision; Reinforcement Learning,Revision & Practice
S00051,Jessica Holmes,16,Diploma,Diploma in Civil Engineering,Semester 6,Surveying; Structural Analysis; Building Materials; Concrete Technology; Geotechnical Engineering; Transportation Engineering,Grade Improvement
S00052,Danny Morgan,25,Postgraduate,MSc,Semester 1,Advanced Physics; Advanced Chemistry; Advanced Mathematics; Advanced Biology,Research Preparation
S00053,Crystal Robinson,17,Grade 6-12,Grade 12 - Commerce,Annual,Accountancy; Business Studies; Economics; Mathematics; English,Skill Building
S00054,Mark Perez,18,Undergraduate,MBBS,Year 3,Anatomy; Physiology; Biochemistry; Pathology; Pharmacology; Microbiology; Forensic Medicine,Exam Preparation
S00055,Shannon Jones,20,Undergraduate,BSc Science,Semester 4,Physics; Chemistry; Mathematics; Botany; Zoology,Exam Preparation
S00056,Michael Lewis,16,Diploma,Diploma in Mechanical Engineering,Semester 6,Engineering Mechanics; Thermodynamics; Machine Design; Manufacturing Processes; Strength of Materials; Fluid Mechanics,Concept Mastery
S00057,Timothy Duncan,13,Grade 6-12,Grade 7,Annual,Mathematics; Science; English; Social Science; Hindi,College Admission Prep
S00058,Richard Aguirre,12,Grade 6-12,Grade 6,Annual,Mathematics; Science; English; Social Science; Hindi,Competitive Exam Prep
S00059,Brent Jordan,21,Undergraduate,BTech Civil Engineering,Semester 7,Structural Engineering; Geotechnical Engineering; Transportation Engineering; Surveying; Concrete Technology; Environmental Engineering,Revision & Practice
S00060,John Daniel,30,Postgraduate,MBA,Semester 1,Strategic Management; Financial Management; Marketing Management; Human Resource Management; Operations Management,Certification Prep
S00061,Victoria Garcia,21,Undergraduate,BTech Artificial Intelligence,Semester 4,Machine Learning; Deep Learning; Statistics; OOP; DBMS; Natural Language Processing; Computer Vision; Reinforcement Learning,Revision & Practice
S00062,Gerald Hensley,18,Undergraduate,BTech Civil Engineering,Semester 4,Structural Engineering; Geotechnical Engineering; Transportation Engineering; Surveying; Concrete Technology; Environmental Engineering,Skill Building
S00063,Connor West,12,Grade 6-12,Grade 7,Annual,Mathematics; Science; English; Social Science; Hindi,Exam Preparation
S00064,Donald Wright,22,Undergraduate,LLB,Year 2,Constitutional Law; Criminal Law; Contract Law; Law of Torts; Jurisprudence; Family Law,Concept Mastery
S00065,Jessica Callahan,16,Grade 6-12,Grade 10,Annual,Mathematics; Science; English; Social Science; Computer Basics,Exam Preparation
S00066,Amber Kidd,17,Grade 6-12,Grade 11 - Arts,Annual,History; Political Science; Geography; Sociology; English,Certification Prep
S00067,Tracy House,18,Grade 6-12,Grade 12 - Arts,Annual,History; Political Science; Geography; Sociology; English,Career Growth
S00068,Carol Tucker,22,Undergraduate,MBBS,Year 3,Anatomy; Physiology; Biochemistry; Pathology; Pharmacology; Microbiology; Forensic Medicine,Certification Prep
S00069,James Brown,14,Grade 6-12,Grade 8,Annual,Mathematics; Science; English; Social Science; Hindi,Grade Improvement
S00070,William Baker,28,Postgraduate,MBA,Semester 2,Strategic Management; Financial Management; Marketing Management; Human Resource Management; Operations Management,Career Growth
S00071,Jordan Henderson,17,Grade 6-12,Grade 11 - Science,Annual,Physics; Chemistry; Mathematics; Biology; English,Certification Prep
S00072,Whitney Peters,14,Grade 6-12,Grade 9,Annual,Mathematics; Science; English; Social Science; Computer Basics,Career Growth
S00073,Brittney Phillips,22,Undergraduate,BTech Electronics,Semester 8,Digital Signal Processing; Microprocessors; VLSI Design; Communication Systems; Control Systems; Embedded Systems,Career Growth
S00074,Lauren Daniels,21,Undergraduate,BTech Artificial Intelligence,Semester 8,Machine Learning; Deep Learning; Statistics; OOP; DBMS; Natural Language Processing; Computer Vision; Reinforcement Learning,Research Preparation
S00075,Amy Silva,17,Grade 6-12,Grade 12 - Commerce,Annual,Accountancy; Business Studies; Economics; Mathematics; English,Competitive Exam Prep
S00076,Sarah Moore,18,Grade 6-12,Grade 12 - Arts,Annual,History; Political Science; Geography; Sociology; English,Research Preparation
S00077,Angela Lopez,14,Grade 6-12,Grade 8,Annual,Mathematics; Science; English; Social Science; Hindi,Research Preparation
S00078,Megan Young,18,Grade 6-12,Grade 12 - Science,Annual,Physics; Chemistry; Mathematics; Biology; English,Concept Mastery
S00079,Steve Sanchez,16,Diploma,Diploma in Mechanical Engineering,Semester 6,Engineering Mechanics; Thermodynamics; Machine Design; Manufacturing Processes; Strength of Materials; Fluid Mechanics,College Admission Prep
S00080,Lisa Barnes,16,Diploma,Diploma in Mechanical Engineering,Semester 5,Engineering Mechanics; Thermodynamics; Machine Design; Manufacturing Processes; Strength of Materials; Fluid Mechanics,Exam Preparation
S00081,Kelly Donovan,22,Undergraduate,BBA,Semester 1,Principles of Management; Marketing Management; Financial Accounting; Business Economics; Organizational Behavior; Business Statistics,Certification Prep
S00082,Mike Allen,17,Grade 6-12,Grade 11 - Commerce,Annual,Accountancy; Business Studies; Economics; Mathematics; English,Exam Preparation
S00083,Michael Evans,18,Undergraduate,BTech Electronics,Semester 8,Digital Signal Processing; Microprocessors; VLSI Design; Communication Systems; Control Systems; Embedded Systems,Certification Prep
S00084,Paul Jones,20,Undergraduate,BCom,Semester 6,Financial Accounting; Business Law; Economics; Taxation; Auditing; Cost Accounting,Revision & Practice
S00085,Zachary Ferrell,28,Postgraduate,MTech Artificial Intelligence,Semester 4,Deep Learning; Reinforcement Learning; Advanced Natural Language Processing; Advanced Computer Vision; Advanced Machine Learning,College Admission Prep
S00086,Daniel Baker,23,Postgraduate,MSc,Semester 1,Advanced Physics; Advanced Chemistry; Advanced Mathematics; Advanced Biology,Certification Prep
S00087,Shirley Suarez,18,Diploma,Diploma in Civil Engineering,Semester 3,Surveying; Structural Analysis; Building Materials; Concrete Technology; Geotechnical Engineering; Transportation Engineering,Grade Improvement
S00088,Christopher Bass,11,Grade 6-12,Grade 6,Annual,Mathematics; Science; English; Social Science; Hindi,Exam Preparation
S00089,Lisa Archer,15,Grade 6-12,Grade 9,Annual,Mathematics; Science; English; Social Science; Computer Basics,Exam Preparation
S00090,Aimee Montoya,20,Undergraduate,BTech Computer Science,Semester 4,OOP; DBMS; Operating Systems; Computer Networks; Data Structures; Algorithms; Software Engineering; Web Technologies,Certification Prep
S00091,Matthew Mcmillan,17,Grade 6-12,Grade 11 - Science,Annual,Physics; Chemistry; Mathematics; Biology; English,Competitive Exam Prep
S00092,Brian Rodriguez,23,Undergraduate,LLB,Year 3,Constitutional Law; Criminal Law; Contract Law; Law of Torts; Jurisprudence; Family Law,Exam Preparation
S00093,Denise Jacobs,16,Grade 6-12,Grade 10,Annual,Mathematics; Science; English; Social Science; Computer Basics,Revision & Practice
S00094,Christina Walters,12,Grade 6-12,Grade 7,Annual,Mathematics; Science; English; Social Science; Hindi,Exam Preparation
S00095,John Whitehead,18,Undergraduate,BTech Civil Engineering,Semester 2,Structural Engineering; Geotechnical Engineering; Transportation Engineering; Surveying; Concrete Technology; Environmental Engineering,Exam Preparation
S00096,Anna Henderson,17,Grade 6-12,Grade 12 - Commerce,Annual,Accountancy; Business Studies; Economics; Mathematics; English,Career Growth
S00097,Aaron Wise,16,Grade 6-12,Grade 11 - Science,Annual,Physics; Chemistry; Mathematics; Biology; English,Revision & Practice
S00098,Deborah Figueroa,14,Grade 6-12,Grade 9,Annual,Mathematics; Science; English; Social Science; Computer Basics,Career Growth
S00099,Jessica Smith,18,Grade 6-12,Grade 12 - Arts,Annual,History; Political Science; Geography; Sociology; English,College Admission Prep
S00100,Stephen Mckee,16,Grade 6-12,Grade 11 - Arts,Annual,History; Political Science; Geography; Sociology; English,Certification Prep
S00101,Sandra Aguilar,17,Grade 6-12,Grade 11 - Commerce,Annual,Accountancy; Business Studies; Economics; Mathematics; English,Revision & Practice
S00102,Cameron Parker,15,Diploma,Diploma in Electronics Engineering,Semester 5,Circuit Theory; Digital Electronics; Microprocessors; Communication Systems; Electronic Devices; Control Systems,Skill Building
S00103,Rebecca Valencia,17,Diploma,Diploma in Mechanical Engineering,Semester 4,Engineering Mechanics; Thermodynamics; Machine Design; Manufacturing Processes; Strength of Materials; Fluid Mechanics,Research Preparation
S00104,Christine Wright,16,Grade 6-12,Grade 10,Annual,Mathematics; Science; English; Social Science; Computer Basics,College Admission Prep
S00105,Richard Henson,19,Diploma,Diploma in Mechanical Engineering,Semester 4,Engineering Mechanics; Thermodynamics; Machine Design; Manufacturing Processes; Strength of Materials; Fluid Mechanics,College Admission Prep
S00106,Marc Moore,20,Undergraduate,BTech Civil Engineering,Semester 3,Structural Engineering; Geotechnical Engineering; Transportation Engineering; Surveying; Concrete Technology; Environmental Engineering,Career Growth
S00107,Sharon Cherry,19,Diploma,Diploma in Civil Engineering,Semester 6,Surveying; Structural Analysis; Building Materials; Concrete Technology; Geotechnical Engineering; Transportation Engineering,Competitive Exam Prep
S00108,Sierra Johnson,22,Undergraduate,BSc Science,Semester 6,Physics; Chemistry; Mathematics; Botany; Zoology,College Admission Prep
S00109,Evelyn Galvan,16,Grade 6-12,Grade 11 - Commerce,Annual,Accountancy; Business Studies; Economics; Mathematics; English,Competitive Exam Prep
S00110,Sharon Cochran,26,Postgraduate,LLM,Semester 3,Advanced Constitutional Law; International Law; Corporate Law; Human Rights Law,Concept Mastery
S00111,Richard Rodriguez,25,Undergraduate,LLB,Year 3,Constitutional Law; Criminal Law; Contract Law; Law of Torts; Jurisprudence; Family Law,Competitive Exam Prep
S00112,Shannon Walker,17,Grade 6-12,Grade 11 - Science,Annual,Physics; Chemistry; Mathematics; Biology; English,College Admission Prep
S00113,Julia Torres,16,Diploma,Diploma in Mechanical Engineering,Semester 3,Engineering Mechanics; Thermodynamics; Machine Design; Manufacturing Processes; Strength of Materials; Fluid Mechanics,Revision & Practice
S00114,Crystal Johnson,22,Undergraduate,BTech Mechanical Engineering,Semester 6,Thermodynamics; Fluid Mechanics; Machine Design; Manufacturing Processes; Strength of Materials; Heat Transfer,Competitive Exam Prep
S00115,Garrett Lin,19,Undergraduate,BCom,Semester 5,Financial Accounting; Business Law; Economics; Taxation; Auditing; Cost Accounting,College Admission Prep
S00116,Diana May,18,Diploma,Diploma in Electronics Engineering,Semester 3,Circuit Theory; Digital Electronics; Microprocessors; Communication Systems; Electronic Devices; Control Systems,Exam Preparation
S00117,William Herrera,13,Grade 6-12,Grade 7,Annual,Mathematics; Science; English; Social Science; Hindi,Career Growth
S00118,Ashley Waller,11,Grade 6-12,Grade 6,Annual,Mathematics; Science; English; Social Science; Hindi,Certification Prep
S00119,Victor Baker,13,Grade 6-12,Grade 7,Annual,Mathematics; Science; English; Social Science; Hindi,Certification Prep
S00120,Jeffrey Chandler,19,Undergraduate,BTech Mechanical Engineering,Semester 8,Thermodynamics; Fluid Mechanics; Machine Design; Manufacturing Processes; Strength of Materials; Heat Transfer,Skill Building
S00121,Larry Dixon,20,Undergraduate,BTech Mechanical Engineering,Semester 4,Thermodynamics; Fluid Mechanics; Machine Design; Manufacturing Processes; Strength of Materials; Heat Transfer,Grade Improvement
S00122,Kenneth Scott,23,Undergraduate,LLB,Year 1,Constitutional Law; Criminal Law; Contract Law; Law of Torts; Jurisprudence; Family Law,Concept Mastery
S00123,April Frost,17,Grade 6-12,Grade 12 - Commerce,Annual,Accountancy; Business Studies; Economics; Mathematics; English,Competitive Exam Prep
S00124,Michelle Harmon,12,Grade 6-12,Grade 7,Annual,Mathematics; Science; English; Social Science; Hindi,Career Growth
S00125,Helen Jones,24,Undergraduate,LLB,Year 3,Constitutional Law; Criminal Law; Contract Law; Law of Torts; Jurisprudence; Family Law,Certification Prep
S00126,Erin Edwards,17,Grade 6-12,Grade 11 - Commerce,Annual,Accountancy; Business Studies; Economics; Mathematics; English,Exam Preparation
S00127,Michelle Evans,18,Grade 6-12,Grade 12 - Commerce,Annual,Accountancy; Business Studies; Economics; Mathematics; English,Revision & Practice
S00128,Jason Powell,20,Undergraduate,BBA,Semester 1,Principles of Management; Marketing Management; Financial Accounting; Business Economics; Organizational Behavior; Business Statistics,Concept Mastery
S00129,Cameron Fisher,17,Grade 6-12,Grade 12 - Science,Annual,Physics; Chemistry; Mathematics; Biology; English,Career Growth
S00130,Megan Orr,15,Diploma,Diploma in Civil Engineering,Semester 4,Surveying; Structural Analysis; Building Materials; Concrete Technology; Geotechnical Engineering; Transportation Engineering,Research Preparation
S00131,Elizabeth Kelley,18,Grade 6-12,Grade 12 - Science,Annual,Physics; Chemistry; Mathematics; Biology; English,Certification Prep
S00132,Dustin Jordan,11,Grade 6-12,Grade 6,Annual,Mathematics; Science; English; Social Science; Hindi,Research Preparation
S00133,Mary Marshall,17,Grade 6-12,Grade 12 - Arts,Annual,History; Political Science; Geography; Sociology; English,Revision & Practice
S00134,Daniel Kennedy,21,Undergraduate,BTech Artificial Intelligence,Semester 7,Machine Learning; Deep Learning; Statistics; OOP; DBMS; Natural Language Processing; Computer Vision; Reinforcement Learning,Competitive Exam Prep
S00135,Rebecca Jackson,19,Undergraduate,BCom,Semester 5,Financial Accounting; Business Law; Economics; Taxation; Auditing; Cost Accounting,Grade Improvement
S00136,Jose Schultz,29,Postgraduate,MBA,Semester 2,Strategic Management; Financial Management; Marketing Management; Human Resource Management; Operations Management,Certification Prep
S00137,Robert Potter,23,Postgraduate,MSc,Semester 2,Advanced Physics; Advanced Chemistry; Advanced Mathematics; Advanced Biology,Grade Improvement
S00138,Courtney Gonzalez,17,Grade 6-12,Grade 11 - Science,Annual,Physics; Chemistry; Mathematics; Biology; English,Career Growth
S00139,David Alvarez,12,Grade 6-12,Grade 7,Annual,Mathematics; Science; English; Social Science; Hindi,Exam Preparation
S00140,Angel Perry,20,Undergraduate,BTech Electronics,Semester 8,Digital Signal Processing; Microprocessors; VLSI Design; Communication Systems; Control Systems; Embedded Systems,Revision & Practice
S00141,Cheyenne Horton,17,Grade 6-12,Grade 11 - Commerce,Annual,Accountancy; Business Studies; Economics; Mathematics; English,Concept Mastery
S00142,David Douglas Jr.,17,Diploma,Diploma in Mechanical Engineering,Semester 5,Engineering Mechanics; Thermodynamics; Machine Design; Manufacturing Processes; Strength of Materials; Fluid Mechanics,Exam Preparation
S00143,Patricia Rodriguez,16,Grade 6-12,Grade 11 - Arts,Annual,History; Political Science; Geography; Sociology; English,College Admission Prep
S00144,Christopher Rubio,18,Undergraduate,BTech Computer Science,Semester 1,OOP; DBMS; Operating Systems; Computer Networks; Data Structures; Algorithms; Software Engineering; Web Technologies,Revision & Practice
S00145,Amber Wright,15,Grade 6-12,Grade 10,Annual,Mathematics; Science; English; Social Science; Computer Basics,College Admission Prep
S00146,Joyce Solis,28,Postgraduate,LLM,Semester 4,Advanced Constitutional Law; International Law; Corporate Law; Human Rights Law,Concept Mastery
S00147,Victoria Larson,22,Undergraduate,BTech Mechanical Engineering,Semester 5,Thermodynamics; Fluid Mechanics; Machine Design; Manufacturing Processes; Strength of Materials; Heat Transfer,Grade Improvement
S00148,Stephanie Salazar,18,Grade 6-12,Grade 12 - Science,Annual,Physics; Chemistry; Mathematics; Biology; English,Concept Mastery
S00149,Kathy Rivas,20,Undergraduate,BTech Artificial Intelligence,Semester 6,Machine Learning; Deep Learning; Statistics; OOP; DBMS; Natural Language Processing; Computer Vision; Reinforcement Learning,Skill Building
S00150,Stephanie Manning,17,Grade 6-12,Grade 12 - Arts,Annual,History; Political Science; Geography; Sociology; English,Certification Prep
S00151,David Wright,22,Undergraduate,BTech Electronics,Semester 3,Digital Signal Processing; Microprocessors; VLSI Design; Communication Systems; Control Systems; Embedded Systems,Grade Improvement
S00152,Pamela Boyd,18,Diploma,Diploma in Mechanical Engineering,Semester 4,Engineering Mechanics; Thermodynamics; Machine Design; Manufacturing Processes; Strength of Materials; Fluid Mechanics,Skill Building
S00153,Denise Jones,19,Undergraduate,BTech Mechanical Engineering,Semester 7,Thermodynamics; Fluid Mechanics; Machine Design; Manufacturing Processes; Strength of Materials; Heat Transfer,Concept Mastery
S00154,Devon Flores,24,Undergraduate,MBBS,Year 3,Anatomy; Physiology; Biochemistry; Pathology; Pharmacology; Microbiology; Forensic Medicine,Skill Building
S00155,Brenda Hall,20,Undergraduate,BTech Mechanical Engineering,Semester 4,Thermodynamics; Fluid Mechanics; Machine Design; Manufacturing Processes; Strength of Materials; Heat Transfer,Exam Preparation
S00156,Michelle Brown,23,Postgraduate,LLM,Semester 2,Advanced Constitutional Law; International Law; Corporate Law; Human Rights Law,Competitive Exam Prep
S00157,Joshua Perry,18,Grade 6-12,Grade 12 - Science,Annual,Physics; Chemistry; Mathematics; Biology; English,Concept Mastery
S00158,Jason Stein,16,Diploma,Diploma in Computer Science,Semester 4,Programming Fundamentals; Data Structures; DBMS; Web Development; Computer Networks; Operating Systems,Revision & Practice
S00159,Melissa Gates,17,Diploma,Diploma in Civil Engineering,Semester 4,Surveying; Structural Analysis; Building Materials; Concrete Technology; Geotechnical Engineering; Transportation Engineering,Exam Preparation
S00160,Jamie Smith,16,Grade 6-12,Grade 11 - Arts,Annual,History; Political Science; Geography; Sociology; English,Grade Improvement
S00161,Paul Castaneda,23,Undergraduate,BTech Computer Science,Semester 5,OOP; DBMS; Operating Systems; Computer Networks; Data Structures; Algorithms; Software Engineering; Web Technologies,Skill Building
S00162,Jennifer Adkins,18,Undergraduate,BTech Artificial Intelligence,Semester 3,Machine Learning; Deep Learning; Statistics; OOP; DBMS; Natural Language Processing; Computer Vision; Reinforcement Learning,Skill Building
S00163,Lindsey Walker,16,Grade 6-12,Grade 11 - Science,Annual,Physics; Chemistry; Mathematics; Biology; English,Skill Building
S00164,Jeffrey Johnson,27,Postgraduate,MBA,Semester 3,Strategic Management; Financial Management; Marketing Management; Human Resource Management; Operations Management,Exam Preparation
S00165,Michael Powell,26,Postgraduate,MTech Artificial Intelligence,Semester 3,Deep Learning; Reinforcement Learning; Advanced Natural Language Processing; Advanced Computer Vision; Advanced Machine Learning,Grade Improvement
S00166,John Anderson,11,Grade 6-12,Grade 6,Annual,Mathematics; Science; English; Social Science; Hindi,Revision & Practice
S00167,Alyssa Long,15,Grade 6-12,Grade 9,Annual,Mathematics; Science; English; Social Science; Computer Basics,Career Growth
S00168,Alyssa Day,18,Grade 6-12,Grade 12 - Commerce,Annual,Accountancy; Business Studies; Economics; Mathematics; English,Certification Prep
S00169,Joel Williams,13,Grade 6-12,Grade 7,Annual,Mathematics; Science; English; Social Science; Hindi,Grade Improvement
S00170,Daniel Murphy,18,Undergraduate,BTech Artificial Intelligence,Semester 7,Machine Learning; Deep Learning; Statistics; OOP; DBMS; Natural Language Processing; Computer Vision; Reinforcement Learning,Concept Mastery
S00171,Jamie Walton,16,Grade 6-12,Grade 11 - Arts,Annual,History; Political Science; Geography; Sociology; English,Skill Building
S00172,Darlene Miller,12,Grade 6-12,Grade 7,Annual,Mathematics; Science; English; Social Science; Hindi,College Admission Prep
S00173,Joshua Cooke,17,Grade 6-12,Grade 12 - Science,Annual,Physics; Chemistry; Mathematics; Biology; English,Revision & Practice
S00174,Matthew Harrington,20,Undergraduate,BTech Mechanical Engineering,Semester 5,Thermodynamics; Fluid Mechanics; Machine Design; Manufacturing Processes; Strength of Materials; Heat Transfer,College Admission Prep
S00175,Nicole Herring,19,Undergraduate,BTech Mechanical Engineering,Semester 5,Thermodynamics; Fluid Mechanics; Machine Design; Manufacturing Processes; Strength of Materials; Heat Transfer,Skill Building
S00176,Alex Hernandez,17,Grade 6-12,Grade 12 - Arts,Annual,History; Political Science; Geography; Sociology; English,College Admission Prep
S00177,Michael Elliott,19,Undergraduate,BBA,Semester 5,Principles of Management; Marketing Management; Financial Accounting; Business Economics; Organizational Behavior; Business Statistics,Concept Mastery
S00178,Michael Wang,17,Grade 6-12,Grade 12 - Science,Annual,Physics; Chemistry; Mathematics; Biology; English,Certification Prep
S00179,Lawrence Adkins,13,Grade 6-12,Grade 8,Annual,Mathematics; Science; English; Social Science; Hindi,Concept Mastery
